age,gender,race_minority,years_education,disability,disease,anios_en_calle,family_contact,recieves_help,drug_consumption,avg_age_drug_consumption,lgbt_minority,ln_years_street
48.0,1,0,7.0,1,0,0.25,0,1,0,0.0,0,-1.3862943611198906
33.0,1,0,7.0,0,1,0.16666666666666666,1,1,1,15.75,0,-1.791759469228055
59.0,0,0,2.0,0,0,1.3333333333333333,1,1,0,0.0,0,0.28768207245178085
24.0,1,0,11.0,0,0,4.0,0,1,1,16.0,0,1.3862943611198906
58.0,1,0,11.0,1,0,8.0,0,0,1,52.5,0,2.0794415416798357
35.0,1,0,7.0,0,0,26.0,1,1,1,20.0,0,3.258096538021482
33.0,0,0,13.0,0,0,1.5,0,1,0,0.0,0,0.4054651081081644
62.0,0,0,2.0,1,0,0.0,1,0,1,30.0,0,0.0
27.0,1,0,7.0,0,0,5.083333333333333,1,1,1,17.0,1,1.6259672143853108
75.0,1,0,15.0,1,0,30.0,0,0,0,0.0,0,3.4011973816621555
48.0,1,0,7.0,1,0,9.0,0,1,0,0.0,0,2.1972245773362196
32.0,1,0,7.0,1,0,21.583333333333332,0,0,1,22.5,0,3.0719214119115374
72.0,1,0,7.0,1,1,0.16666666666666666,1,0,1,15.0,0,-1.791759469228055
43.0,1,0,13.0,0,0,1.5,0,1,1,15.0,0,0.4054651081081644
64.0,1,0,13.0,0,0,34.0,0,1,1,15.0,0,3.5263605246161616
28.0,1,0,7.0,0,0,0.5,1,1,1,17.0,0,-0.6931471805599453
53.0,1,1,11.0,1,0,3.0,1,0,1,26.5,0,1.0986122886681098
39.0,1,0,7.0,0,0,3.0,1,1,1,25.0,0,1.0986122886681098
33.0,1,0,13.0,1,0,0.3333333333333333,1,0,1,19.5,0,-1.0986122886681098
74.0,1,0,15.0,0,0,1.0,0,0,1,16.0,0,0.0
52.0,1,0,11.0,0,0,6.0,1,0,1,18.0,0,1.791759469228055
65.0,1,0,15.0,1,0,20.0,1,1,1,32.5,0,2.995732273553991
21.0,1,0,7.0,0,0,2.5,1,1,1,15.0,0,0.9162907318741551
33.0,1,0,13.0,0,0,0.5833333333333334,0,1,1,16.0,0,-0.5389965007326869
63.0,1,0,2.0,1,1,22.0,1,1,1,15.0,0,3.091042453358316
43.0,1,0,13.0,0,0,5.5,0,0,1,19.0,0,1.7047480922384253
52.0,0,0,7.0,1,0,4.0,0,1,1,20.0,0,1.3862943611198906
56.0,1,0,7.0,1,0,40.0,1,1,1,16.0,0,3.6888794541139363
63.0,1,0,2.0,0,0,40.0,1,1,1,16.25,0,3.6888794541139363
60.0,1,0,2.0,1,0,3.0,1,1,1,21.5,0,1.0986122886681098
52.0,1,0,7.0,0,0,40.0,1,1,1,15.0,0,3.6888794541139363
33.0,0,0,11.0,0,1,10.0,1,0,1,17.375,1,2.302585092994046
36.0,1,0,15.0,0,0,1.0,1,1,1,29.0,0,0.0
66.0,1,0,7.0,1,1,54.0,1,1,0,0.0,0,3.9889840465642745
33.0,1,0,7.0,0,0,2.0,1,1,1,18.0,0,0.6931471805599453
57.0,1,0,7.0,0,0,35.333333333333336,1,0,1,22.0,0,3.5648268054439574
48.0,1,1,13.0,0,0,1.5833333333333333,1,1,0,0.0,0,0.45953232937844013
73.0,1,0,7.0,1,0,2.0,0,1,0,0.0,0,0.6931471805599453
42.0,1,0,2.0,1,0,2.25,0,1,1,15.5,0,0.8109302162163288
67.0,1,0,15.0,1,0,15.0,1,1,1,27.75,0,2.70805020110221
59.0,1,0,15.0,1,1,1.0,0,0,1,15.0,0,0.0
57.0,1,0,7.0,1,0,5.0,1,0,1,20.0,0,1.6094379124341003
47.0,1,0,7.0,1,1,31.0,0,0,1,18.166666666666668,0,3.4339872044851463
43.0,1,1,7.0,0,0,10.166666666666666,1,1,1,33.0,0,2.3191143949452564
57.0,1,0,7.0,1,0,8.0,1,0,1,17.0,0,2.0794415416798357
67.0,1,0,7.0,0,0,2.0,1,1,0,0.0,0,0.6931471805599453
66.0,1,0,11.0,0,1,30.5,0,1,1,16.0,0,3.417726683613366
46.0,1,0,11.0,0,0,2.0,0,1,1,24.666666666666668,0,0.6931471805599453
29.0,0,0,15.0,1,0,17.0,1,0,1,15.0,0,2.833213344056216
21.0,1,0,7.0,1,0,0.4166666666666667,1,1,1,15.0,0,-0.8754687373538999
45.0,1,0,2.0,1,0,25.0,1,0,1,15.166666666666666,0,3.2188758248682006
41.0,1,0,13.0,0,0,2.0,0,1,1,27.666666666666668,0,0.6931471805599453
73.0,1,0,15.0,0,1,50.0,0,1,1,15.0,0,3.912023005428146
54.0,1,0,11.0,0,0,0.5,1,0,1,30.0,0,-0.6931471805599453
39.0,1,0,7.0,0,0,0.16666666666666666,1,1,1,15.0,0,-1.791759469228055
64.0,1,0,7.0,1,0,3.3333333333333335,0,1,1,30.0,0,1.2039728043259361
42.0,0,0,7.0,1,0,1.0,1,0,1,15.0,0,0.0
31.0,1,0,13.0,1,0,0.6666666666666666,1,0,1,19.0,0,-0.40546510810816444
37.0,1,0,2.0,0,0,8.0,0,1,1,17.25,0,2.0794415416798357
63.0,1,0,13.0,1,0,0.6666666666666666,1,1,0,0.0,0,-0.40546510810816444
29.0,1,0,7.0,0,0,0.5,1,1,1,15.0,0,-0.6931471805599453
67.0,1,0,7.0,0,0,10.0,0,1,0,0.0,0,2.302585092994046
56.0,1,0,7.0,1,0,2.0,1,1,1,25.0,0,0.6931471805599453
63.0,0,0,2.0,0,0,20.0,1,0,1,60.0,0,2.995732273553991
35.0,1,0,7.0,0,0,18.0,1,1,1,19.0,0,2.8903717578961645
